100 655 1
0 5 1 1
5 0 1 1
6 0 1 1
0 7 1 1
1 0 1 1
0 1 1 1
5 1 1 1
1 6 1 1
1 7 1 1
7 1 1 1
1 9 1 1
9 1 1 1
2 1 1 1
1 2 1 1
2 6 1 1
7 2 1 1
2 8 1 1
3 2 1 1
2 3 1 1
5 3 1 1
3 6 1 1
3 7 1 1
7 3 1 1
3 8 1 1
8 3 1 1
3 9 1 1
9 3 1 1
4 3 1 1
3 4 1 1
5 4 1 1
6 4 1 1
4 7 1 1
7 4 1 1
4 9 1 1
9 4 1 1
5 10 1 1
10 5 1 1
5 11 1 1
12 5 1 1
13 5 1 1
6 5 1 1
5 6 1 1
6 11 1 1
11 6 1 1
6 12 1 1
7 6 1 1
6 7 1 1
7 10 1 1
7 11 1 1
7 12 1 1
12 7 1 1
7 13 1 1
13 7 1 1
7 14 1 1
14 7 1 1
8 7 1 1
7 8 1 1
8 10 1 1
8 12 1 1
13 8 1 1
9 8 1 1
8 9 1 1
9 10 1 1
9 12 1 1
12 9 1 1
9 13 1 1
9 14 1 1
14 9 1 1
15 10 1 1
10 16 1 1
16 10 1 1
10 17 1 1
10 19 1 1
19 10 1 1
11 10 1 1
10 11 1 1
11 15 1 1
11 17 1 1
17 11 1 1
18 11 1 1
12 11 1 1
11 12 1 1
12 15 1 1
15 12 1 1
16 12 1 1
12 17 1 1
12 18 1 1
13 12 1 1
12 13 1 1
13 15 1 1
13 16 1 1
13 17 1 1
13 19 1 1
14 13 1 1
13 14 1 1
14 15 1 1
16 14 1 1
17 14 1 1
18 14 1 1
15 20 1 1
20 15 1 1
15 21 1 1
15 22 1 1
22 15 1 1
15 24 1 1
16 15 1 1
15 16 1 1
20 16 1 1
16 22 1 1
22 16 1 1
16 24 1 1
24 16 1 1
17 16 1 1
16 17 1 1
20 17 1 1
23 17 1 1
17 24 1 1
18 17 1 1
17 18 1 1
18 20 1 1
20 18 1 1
21 18 1 1
18 22 1 1
22 18 1 1
23 18 1 1
18 24 1 1
24 18 1 1
19 18 1 1
18 19 1 1
19 20 1 1
20 19 1 1
21 19 1 1
19 22 1 1
20 25 1 1
20 26 1 1
26 20 1 1
27 20 1 1
29 20 1 1
21 20 1 1
20 21 1 1
21 25 1 1
26 21 1 1
21 27 1 1
27 21 1 1
28 21 1 1
29 21 1 1
22 21 1 1
21 22 1 1
25 22 1 1
26 22 1 1
22 28 1 1
28 22 1 1
29 22 1 1
23 22 1 1
22 23 1 1
23 25 1 1
25 23 1 1
23 26 1 1
23 27 1 1
27 23 1 1
23 28 1 1
28 23 1 1
24 23 1 1
23 24 1 1
25 24 1 1
26 24 1 1
27 24 1 1
29 24 1 1
25 30 1 1
31 25 1 1
25 32 1 1
32 25 1 1
25 33 1 1
34 25 1 1
26 25 1 1
25 26 1 1
26 30 1 1
30 26 1 1
26 31 1 1
26 32 1 1
26 34 1 1
27 26 1 1
26 27 1 1
30 27 1 1
27 31 1 1
32 27 1 1
27 33 1 1
33 27 1 1
27 34 1 1
34 27 1 1
28 27 1 1
27 28 1 1
28 32 1 1
32 28 1 1
28 33 1 1
33 28 1 1
34 28 1 1
29 28 1 1
28 29 1 1
30 29 1 1
31 29 1 1
32 29 1 1
29 33 1 1
36 30 1 1
30 37 1 1
30 39 1 1
39 30 1 1
31 30 1 1
30 31 1 1
35 31 1 1
31 36 1 1
31 38 1 1
38 31 1 1
31 39 1 1
39 31 1 1
32 31 1 1
31 32 1 1
32 35 1 1
32 36 1 1
36 32 1 1
32 37 1 1
37 32 1 1
32 38 1 1
38 32 1 1
32 39 1 1
39 32 1 1
33 32 1 1
32 33 1 1
33 35 1 1
35 33 1 1
33 36 1 1
36 33 1 1
33 39 1 1
39 33 1 1
34 33 1 1
33 34 1 1
34 35 1 1
35 34 1 1
34 36 1 1
34 37 1 1
37 34 1 1
40 35 1 1
41 35 1 1
35 42 1 1
42 35 1 1
44 35 1 1
36 35 1 1
35 36 1 1
36 40 1 1
36 42 1 1
36 43 1 1
43 36 1 1
37 36 1 1
36 37 1 1
37 40 1 1
40 37 1 1
37 41 1 1
37 42 1 1
37 43 1 1
43 37 1 1
44 37 1 1
38 37 1 1
37 38 1 1
38 40 1 1
38 41 1 1
41 38 1 1
38 42 1 1
38 43 1 1
43 38 1 1
44 38 1 1
39 38 1 1
38 39 1 1
40 39 1 1
39 41 1 1
39 42 1 1
42 39 1 1
45 40 1 1
40 46 1 1
46 40 1 1
40 47 1 1
40 48 1 1
41 40 1 1
40 41 1 1
45 41 1 1
46 41 1 1
41 47 1 1
41 48 1 1
41 49 1 1
49 41 1 1
42 41 1 1
41 42 1 1
42 45 1 1
46 42 1 1
47 42 1 1
48 42 1 1
43 42 1 1
42 43 1 1
43 45 1 1
46 43 1 1
47 43 1 1
43 48 1 1
48 43 1 1
49 43 1 1
44 43 1 1
43 44 1 1
44 45 1 1
44 46 1 1
44 47 1 1
49 44 1 1
45 50 1 1
50 45 1 1
45 51 1 1
51 45 1 1
45 54 1 1
46 45 1 1
45 46 1 1
46 50 1 1
46 51 1 1
51 46 1 1
46 52 1 1
52 46 1 1
53 46 1 1
47 46 1 1
46 47 1 1
51 47 1 1
52 47 1 1
47 53 1 1
47 54 1 1
54 47 1 1
48 47 1 1
47 48 1 1
48 50 1 1
48 51 1 1
51 48 1 1
48 52 1 1
52 48 1 1
48 53 1 1
49 48 1 1
48 49 1 1
50 49 1 1
51 49 1 1
49 54 1 1
54 49 1 1
50 55 1 1
55 50 1 1
50 56 1 1
56 50 1 1
50 57 1 1
57 50 1 1
50 58 1 1
50 59 1 1
51 50 1 1
50 51 1 1
51 56 1 1
56 51 1 1
51 57 1 1
52 51 1 1
51 52 1 1
55 52 1 1
52 56 1 1
56 52 1 1
57 52 1 1
52 58 1 1
58 52 1 1
53 52 1 1
52 53 1 1
55 53 1 1
53 56 1 1
56 53 1 1
58 53 1 1
53 59 1 1
59 53 1 1
54 53 1 1
53 54 1 1
55 54 1 1
54 56 1 1
56 54 1 1
57 54 1 1
54 58 1 1
54 59 1 1
55 60 1 1
55 61 1 1
55 62 1 1
62 55 1 1
56 55 1 1
55 56 1 1
56 61 1 1
61 56 1 1
56 62 1 1
62 56 1 1
63 56 1 1
56 64 1 1
64 56 1 1
57 56 1 1
56 57 1 1
60 57 1 1
57 63 1 1
63 57 1 1
58 57 1 1
57 58 1 1
58 60 1 1
60 58 1 1
62 58 1 1
58 64 1 1
59 58 1 1
58 59 1 1
60 59 1 1
59 61 1 1
61 59 1 1
59 62 1 1
63 59 1 1
64 59 1 1
68 60 1 1
61 60 1 1
60 61 1 1
65 61 1 1
69 61 1 1
62 61 1 1
61 62 1 1
62 66 1 1
66 62 1 1
62 67 1 1
68 62 1 1
62 69 1 1
63 62 1 1
62 63 1 1
63 65 1 1
65 63 1 1
66 63 1 1
63 67 1 1
67 63 1 1
68 63 1 1
64 63 1 1
63 64 1 1
64 65 1 1
64 66 1 1
66 64 1 1
64 67 1 1
67 64 1 1
64 68 1 1
68 64 1 1
64 69 1 1
69 64 1 1
65 71 1 1
71 65 1 1
65 72 1 1
65 73 1 1
73 65 1 1
66 65 1 1
65 66 1 1
66 70 1 1
70 66 1 1
66 71 1 1
66 73 1 1
66 74 1 1
74 66 1 1
67 66 1 1
66 67 1 1
70 67 1 1
72 67 1 1
67 73 1 1
74 67 1 1
68 67 1 1
67 68 1 1
68 70 1 1
68 71 1 1
71 68 1 1
68 73 1 1
73 68 1 1
74 68 1 1
69 68 1 1
68 69 1 1
70 69 1 1
71 69 1 1
69 72 1 1
72 69 1 1
69 74 1 1
74 69 1 1
77 70 1 1
70 78 1 1
78 70 1 1
70 79 1 1
79 70 1 1
71 70 1 1
70 71 1 1
71 76 1 1
76 71 1 1
71 77 1 1
77 71 1 1
78 71 1 1
71 79 1 1
72 71 1 1
71 72 1 1
75 72 1 1
72 76 1 1
76 72 1 1
77 72 1 1
72 79 1 1
79 72 1 1
73 72 1 1
72 73 1 1
75 73 1 1
73 76 1 1
73 77 1 1
77 73 1 1
73 78 1 1
73 79 1 1
74 73 1 1
73 74 1 1
74 75 1 1
75 74 1 1
74 76 1 1
76 74 1 1
74 77 1 1
78 74 1 1
74 79 1 1
79 74 1 1
75 80 1 1
75 82 1 1
82 75 1 1
75 83 1 1
83 75 1 1
75 84 1 1
84 75 1 1
76 75 1 1
75 76 1 1
80 76 1 1
76 83 1 1
83 76 1 1
77 76 1 1
76 77 1 1
81 77 1 1
77 82 1 1
82 77 1 1
77 83 1 1
83 77 1 1
84 77 1 1
78 77 1 1
77 78 1 1
78 80 1 1
80 78 1 1
78 81 1 1
81 78 1 1
78 82 1 1
83 78 1 1
78 84 1 1
79 78 1 1
78 79 1 1
80 79 1 1
79 81 1 1
79 82 1 1
82 79 1 1
83 79 1 1
79 84 1 1
84 79 1 1
80 85 1 1
85 80 1 1
80 86 1 1
86 80 1 1
88 80 1 1
80 89 1 1
81 80 1 1
80 81 1 1
81 86 1 1
86 81 1 1
87 81 1 1
81 88 1 1
82 81 1 1
81 82 1 1
87 82 1 1
82 88 1 1
88 82 1 1
83 82 1 1
82 83 1 1
83 86 1 1
86 83 1 1
83 87 1 1
87 83 1 1
83 88 1 1
83 89 1 1
84 83 1 1
83 84 1 1
85 84 1 1
84 86 1 1
84 87 1 1
87 84 1 1
84 88 1 1
84 89 1 1
89 84 1 1
85 90 1 1
85 91 1 1
91 85 1 1
92 85 1 1
93 85 1 1
94 85 1 1
86 85 1 1
85 86 1 1
86 91 1 1
91 86 1 1
86 92 1 1
86 93 1 1
87 86 1 1
86 87 1 1
87 90 1 1
90 87 1 1
87 91 1 1
87 92 1 1
87 93 1 1
87 94 1 1
88 87 1 1
87 88 1 1
88 90 1 1
88 92 1 1
88 93 1 1
93 88 1 1
89 88 1 1
88 89 1 1
91 89 1 1
89 92 1 1
95 90 1 1
90 96 1 1
90 97 1 1
99 90 1 1
91 90 1 1
90 91 1 1
91 95 1 1
95 91 1 1
91 96 1 1
96 91 1 1
91 97 1 1
98 91 1 1
92 91 1 1
91 92 1 1
92 95 1 1
96 92 1 1
97 92 1 1
92 98 1 1
93 92 1 1
92 93 1 1
93 96 1 1
97 93 1 1
98 93 1 1
93 99 1 1
99 93 1 1
94 93 1 1
93 94 1 1
94 99 1 1
96 95 1 1
95 96 1 1
97 96 1 1
96 97 1 1
98 97 1 1
97 98 1 1
99 98 1 1
98 99 1 1
9999999
0 99
